Index	UTC	X	Y	Z	Lat	Lon	Alt (HAE)
Unit	time date	m	m	m	°	°	m
Count	425	425	425	425	425	425	425
Age	0	0	0	0	0	0	0
218	11:53:48.000 06/15/2018	4155552.58	674718.38	4775619.73	48.792864	9.222378	272.20
219	11:53:49.000 06/15/2018	4155555.55	674718.23	4775617.17	48.792829	9.222370	272.20
220	11:53:50.000 06/15/2018	4155558.45	674719.06	4775614.56	48.792793	9.222375	272.20
221	11:53:51.000 06/15/2018	4155561.08	674720.68	4775612.06	48.792759	9.222390	272.20
222	11:53:52.000 06/15/2018	4155563.40	674722.88	4775609.88	48.792728	9.222415	272.30
223	11:53:53.000 06/15/2018	4155565.51	674725.45	4775607.83	48.792699	9.222445	272.40
224	11:53:54.000 06/15/2018	4155567.39	674728.20	4775605.81	48.792672	9.222478	272.40
225	11:53:55.000 06/15/2018	4155569.16	674730.98	4775603.89	48.792646	9.222511	272.40
226	11:53:56.000 06/15/2018	4155570.97	674733.88	4775602.05	48.792620	9.222546	272.50
227	11:53:57.000 06/15/2018	4155572.53	674736.61	4775600.32	48.792596	9.222579	272.50
228	11:53:58.000 06/15/2018	4155574.21	674739.17	4775598.77	48.792573	9.222610	272.70
229	11:53:59.000 06/15/2018	4155575.61	674741.35	4775597.39	48.792553	9.222637	272.80
230	11:54:00.000 06/15/2018	4155576.75	674743.10	4775596.30	48.792537	9.222658	272.90
231	11:54:01.000 06/15/2018	4155577.51	674744.21	4775595.62	48.792527	9.222671	273.00
232	11:54:02.000 06/15/2018	4155577.84	674744.75	4775595.26	48.792522	9.222677	273.00
